energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri,trackID,artistGenres,artistPopularity,artist,trackName,trackPopularity,wrapped
0.151,0.0923,107.072,0.0341,0.961,0.0425,4,0.398,4,241640,-14.402,0.0745,1,audio_features,spotify:track:1VfJeju8B6qP4ZFsYuVW9U,1VfJeju8B6qP4ZFsYuVW9U,"['irish pop', 'modern rock', 'neo mellow', 'pop', 'pop rock', 'shiver pop']",76,Kodaline,Love Like This - Acoustic,54,1.0
0.224,0.0622,99.938,0.0523,0.7,0.00449,4,0.785,2,226200,-10.597,0.559,1,audio_features,spotify:track:3uiJMpAzUi8bMe0A8DMDgb,3uiJMpAzUi8bMe0A8DMDgb,"['bow pop', 'classify']",64,Vitamin String Quartet,Roses,27,1.0
0.473,0.391,119.992,0.0514,0.287,0.0,4,0.765,10,237300,-5.829,0.34,1,audio_features,spotify:track:5kqIPrATaCc2LqxVWzQGbk,5kqIPrATaCc2LqxVWzQGbk,"['danish pop', 'pop', 'scandipop']",79,Lukas Graham,7 Years,81,1.0
0.529,0.0921,126.762,0.0808,0.074,5.52e-05,4,0.529,5,309880,-9.035,0.145,0,audio_features,spotify:track:2YvyKtXIEpQoLYtuUNp7Lg,2YvyKtXIEpQoLYtuUNp7Lg,"['dark trap', 'emo rap', 'underground hip hop']",67,Yung Lean,Ghosttown,53,1.0
0.564,0.148,119.978,0.0371,0.491,4.73e-06,4,0.614,4,236053,-8.505,0.0585,0,audio_features,spotify:track:55ji6rFyGFBXlgXUDyUKbx,55ji6rFyGFBXlgXUDyUKbx,"['dark trap', 'emo rap', 'underground hip hop']",67,Yung Lean,Don't Go,39,1.0
0.273,0.139,114.146,0.0379,0.878,0.646,4,0.235,9,217241,-12.064,0.207,0,audio_features,spotify:track:1pCQ6XHFC6JjVPc3CPkRMy,1pCQ6XHFC6JjVPc3CPkRMy,"['bow pop', 'classify']",64,Vitamin String Quartet,Young and Beautiful,32,1.0
0.133,0.138,127.507,0.0384,0.951,0.00332,4,0.579,0,232987,-12.863,0.198,0,audio_features,spotify:track:4JaoU6fL2Ifz2gDyFYtpiP,4JaoU6fL2Ifz2gDyFYtpiP,['melancholia'],65,Ane Brun,Halo,59,1.0
0.69,0.132,94.988,0.052,0.0771,0.0,4,0.634,6,253307,-7.804,0.645,1,audio_features,spotify:track:6OtCIsQZ64Vs1EbzztvAv4,6OtCIsQZ64Vs1EbzztvAv4,"['dance pop', 'neo mellow', 'piano rock', 'pop', 'pop rock']",86,OneRepublic,Good Life,72,1.0
0.78,0.189,122.077,0.0527,0.156,0.0,4,0.599,11,208395,-5.033,0.529,1,audio_features,spotify:track:6lyjWvSUgYtX26zfrQ6gn8,6lyjWvSUgYtX26zfrQ6gn8,"['neo mellow', 'pop']",76,Birdy,Keeping Your Head Up,49,1.0
0.871,0.343,160.212,0.299,0.0117,0.0,4,0.47,0,292098,-6.662,0.454,0,audio_features,spotify:track:13kiXTWqDhjZFh6A8dsJvl,13kiXTWqDhjZFh6A8dsJvl,"['escape room', 'hip pop', 'lgbtq+ hip hop', 'native american hip hop', 'transpop', 'trap queen']",53,Angel Haze,Battle Cry,55,1.0
0.532,0.165,111.829,0.0713,0.0366,0.000783,4,0.506,4,231507,-7.403,0.303,0,audio_features,spotify:track:0HMCdlOPJkAGlB0MlSWIcO,0HMCdlOPJkAGlB0MlSWIcO,"['chicago rap', 'rap']",95,Kanye West,I Am A God,61,1.0
