energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri,wrapped_year,track_popularity
0.29,0.118,166.467,0.051,0.952,0.00106,4,0.379,4,201080,-8.485,0.169,1,audio_features,spotify:track:4RL77hMWUq35NYnPLXBpih,2016,76
0.251,0.105,58.457,0.0313,0.932,0.918,4,0.258,6,180000,-11.168,0.0389,1,audio_features,spotify:track:1ku6iz80ht16xPwQNglXTv,2016,49
0.66,0.11,93.004,0.0229,0.2,0.0279,4,0.611,8,259787,-7.374,0.136,1,audio_features,spotify:track:5hB7qpilDSr2TG33ghsETX,2016,0
0.706,0.39,99.856,0.0308,0.00999,0.00298,4,0.496,8,238413,-6.653,0.311,1,audio_features,spotify:track:6GtqpDmTZst7GmEmJ8K9yi,2016,25
0.744,0.102,199.837,0.0563,0.677,0.0331,4,0.592,6,226998,-9.197,0.49,1,audio_features,spotify:track:5c7dv3GoKJGId5Ore7DqPM,2016,29
0.365,0.0901,120.066,0.0459,0.256,6.5e-06,4,0.608,0,212093,-7.987,0.155,1,audio_features,spotify:track:7LyWNe5v82CGqtGlekeOdi,2016,12
0.477,0.336,130.078,0.0664,0.000131,0.000664,4,0.885,6,346840,-9.196,0.691,0,audio_features,spotify:track:2OawRn0NvWkStuemgdae4i,2016,7
0.319,0.111,107.984,0.0337,0.251,0.0242,4,0.73,10,255508,-10.885,0.192,1,audio_features,spotify:track:1qbx5vpMKLB55E3qwCgqDR,2016,0
0.435,0.292,133.769,0.123,0.132,0.00678,4,0.698,8,274360,-8.013,0.4,1,audio_features,spotify:track:2Jeh872xwy19kZWTh0W3cp,2016,0
0.737,0.0777,91.507,0.041,0.0625,0.0,4,0.628,7,185194,-4.437,0.592,1,audio_features,spotify:track:1cOyWWUr3oXJIxY0AjJEx9,2016,69
0.271,0.121,84.961,0.0279,0.526,3.78e-05,4,0.59,9,234107,-10.342,0.336,1,audio_features,spotify:track:0arMbHvtmybHW4XagxDV27,2016,38
0.871,0.0928,117.029,0.0342,0.0587,0.249,4,0.678,6,285973,-4.781,0.28,1,audio_features,spotify:track:3Rc2ajBMInxeNGVkMPC92Y,2016,59
0.377,0.0936,123.999,0.0811,0.427,3.68e-05,4,0.651,1,182500,-10.404,0.401,0,audio_features,spotify:track:1sx4GRirvsRPocH3W04e5a,2016,54
0.263,0.127,76.379,0.0567,0.844,5.36e-06,4,0.593,4,238520,-14.029,0.109,0,audio_features,spotify:track:2cbic3TiUENlJX91y67ARR,2016,72
0.438,0.123,126.028,0.0356,0.867,0.0723,4,0.523,0,245240,-11.49,0.106,0,audio_features,spotify:track:7rbCL7W893Zonbfnevku5s,2016,69
0.197,0.085,74.982,0.0294,0.419,0.0518,4,0.411,9,230493,-9.671,0.0934,1,audio_features,spotify:track:0gzX0yIvW3dDlL5r77tNof,2016,22
0.34,0.122,117.956,0.0261,0.865,0.0,4,0.613,7,228813,-7.936,0.271,1,audio_features,spotify:track:7gf342BtbOwdEioHSNlGbX,2016,43
0.257,0.226,76.972,0.0315,0.0159,0.00512,4,0.36,7,212184,-9.655,0.13,1,audio_features,spotify:track:172rW45GEnGoJUuWfm1drt,2016,64
0.855,0.239,121.812,0.0354,0.0502,0.0,4,0.559,7,175531,-2.658,0.263,1,audio_features,spotify:track:76DYtNoGnZOkMMp5XYUtuK,2016,0
0.0259,0.0969,157.811,0.0458,0.996,0.871,4,0.558,8,125520,-30.016,0.37,1,audio_features,spotify:track:2MZSXhq4XDJWu6coGoXX1V,2016,69
0.412,0.134,113.049,0.344,0.615,0.0025,5,0.6,8,225882,-9.343,0.408,1,audio_features,spotify:track:6ZSO7kPn8IMJFymyticbJO,2016,71
0.555,0.0958,93.977,0.0312,0.0505,0.202,4,0.566,2,279101,-7.265,0.497,1,audio_features,spotify:track:12Lv5SHoJBHJWjP2119hWt,2016,3
0.61,0.426,99.991,0.217,0.322,0.000203,4,0.667,1,241160,-7.054,0.465,1,audio_features,spotify:track:7FOJvA3PxiIU0DN3JjQ7jT,2016,74
0.733,0.16,137.904,0.129,0.676,7.06e-05,4,0.661,8,231467,-5.345,0.556,1,audio_features,spotify:track:2MMFpdctgwEkUlfP3kyPDG,2016,55
0.387,0.14,179.957,0.0288,0.918,0.00074,4,0.386,6,217057,-6.649,0.34,1,audio_features,spotify:track:3TSqZ7HH74ehTLXB3vVcgH,2016,0
0.331,0.146,143.974,0.0725,0.337,0.283,4,0.722,8,313547,-7.789,0.102,1,audio_features,spotify:track:7EiZI6JVHllARrX9PUvAdX,2016,77
0.74,0.167,116.879,0.0284,0.0115,0.00678,4,0.64,4,216320,-4.083,0.785,1,audio_features,spotify:track:6K4t31amVTZDgR3sKmwUJJ,2016,87
0.129,0.347,119.985,0.0381,0.211,0.872,4,0.437,7,158000,-17.954,0.0671,0,audio_features,spotify:track:68gzf3AleOyt4NlKwpV0MY,2016,57
0.881,0.0925,114.937,0.0585,0.00181,0.886,4,0.625,0,227370,-6.636,0.456,1,audio_features,spotify:track:1JjltXxroBdXpcLt49UhYV,2016,1
0.568,0.512,86.986,0.0703,0.218,0.0021,4,0.571,1,547733,-3.827,0.109,0,audio_features,spotify:track:3DK6m7It6Pw857FcQftMds,2016,75
0.2,0.0773,119.89,0.0487,0.873,0.0,4,0.681,9,188435,-13.38,0.229,0,audio_features,spotify:track:0kEThzcSBTctCFkBGoDxFu,2016,0
0.46,0.0402,100.112,0.0293,0.441,0.0,4,0.346,8,176594,-7.817,0.106,1,audio_features,spotify:track:5V5E2UGvqmhapVSLbyJxr2,2016,27
0.471,0.363,119.838,0.0514,0.568,0.0244,4,0.362,2,250712,-9.847,0.162,1,audio_features,spotify:track:516JhSoYioACFqaLJyGVeO,2016,22
0.502,0.319,131.01,0.0581,0.01,0.00432,4,0.876,1,223693,-6.794,0.252,0,audio_features,spotify:track:72qycEqCDiAYtzXd0nGbQg,2016,21
0.242,0.713,135.152,0.0561,0.917,0.0,4,0.475,2,332133,-9.896,0.211,1,audio_features,spotify:track:0qSSbcZ2bvjJuB3Wy5lzK5,2016,51
0.114,0.119,141.839,0.0453,0.906,0.96,4,0.333,9,165160,-21.255,0.0566,1,audio_features,spotify:track:4jNQkWhuzqrbqQuqanFFJ6,2016,62
0.754,0.113,96.186,0.189,0.0596,0.0,4,0.625,7,305067,-6.993,0.357,1,audio_features,spotify:track:46OFHBw45fNi7QNjSetITR,2016,63
0.514,0.115,114.94,0.0368,0.203,0.000156,4,0.831,7,244340,-6.695,0.397,1,audio_features,spotify:track:0NBiC3zLXoBQXBjsbnbwJq,2016,72
0.427,0.12,91.662,0.0395,0.941,0.919,4,0.273,8,244062,-10.192,0.178,1,audio_features,spotify:track:0Rf8208uKqShyh4GGM3O47,2016,15
0.504,0.698,98.12,0.0319,0.496,4.73e-06,4,0.618,11,276787,-9.328,0.58,0,audio_features,spotify:track:2sLS4tVaEoMYrNS67PVz0V,2016,73
0.184,0.106,140.006,0.038,0.665,0.0,4,0.661,1,298801,-13.644,0.357,0,audio_features,spotify:track:6QeLUyIfNHCJhEMSPGwDgi,2016,59
0.428,0.0982,101.937,0.0287,0.0216,6.08e-06,4,0.655,0,177013,-12.907,0.301,1,audio_features,spotify:track:5nkCKQrXBC6mvyOrBpgCDF,2016,24
0.58,0.0874,112.052,0.0448,0.113,0.0172,4,0.701,8,215240,-7.015,0.215,1,audio_features,spotify:track:54o9AE6AljwJcUfIWDeGNu,2016,48
0.267,0.152,135.198,0.0293,0.605,0.00322,4,0.379,4,248507,-8.981,0.229,1,audio_features,spotify:track:7pq5vONxrAy8T773nhkiW3,2016,53
0.135,0.0943,97.55,0.036,0.806,0.847,4,0.31,10,176000,-19.007,0.159,1,audio_features,spotify:track:1v1XAFb4TsF5Zb0JOp1axS,2016,42
0.619,0.109,138.017,0.0289,0.0941,3.31e-06,4,0.485,5,242373,-7.115,0.416,0,audio_features,spotify:track:1mea3bSkSGXuIRvnydlB5b,2016,80
0.666,0.113,149.445,0.0471,0.145,0.0,4,0.365,1,229147,-2.821,0.311,1,audio_features,spotify:track:3sNVsP50132BTNlImLx70i,2016,72
0.294,0.107,88.636,0.0277,0.977,0.00393,4,0.389,8,221050,-5.429,0.243,1,audio_features,spotify:track:3XyU03WycJQ02kExHb9dqW,2016,54
0.141,0.109,119.637,0.0486,0.951,0.0,4,0.594,0,137627,-14.458,0.482,1,audio_features,spotify:track:3KD51YetMdgdPRSF42E35w,2016,33
0.172,0.0793,112.655,0.0329,0.839,1.81e-05,4,0.686,1,260004,-8.722,0.197,1,audio_features,spotify:track:5dB00dkUFlruwbxVmdOPSE,2016,10
0.739,0.229,118.005,0.0805,0.0192,0.0794,4,0.766,1,296520,-10.364,0.185,1,audio_features,spotify:track:282L6SR4Y8Rs0VUgtEy1Zw,2016,69
0.335,0.194,108.014,0.0281,0.841,0.000161,4,0.613,9,245780,-6.791,0.245,1,audio_features,spotify:track:5XSU59wtE5CRCAEyHmmGy4,2016,64
0.821,0.168,130.073,0.268,0.00112,0.0,4,0.766,1,188013,-6.124,0.299,1,audio_features,spotify:track:722tgOgdIbNe3BEyLnejw4,2016,77
0.176,0.139,130.927,0.0602,0.826,0.888,4,0.782,9,193453,-14.737,0.525,1,audio_features,spotify:track:4o4uUXJVFWk2U60R4Fz9s3,2016,16
0.506,0.124,112.97,0.144,0.617,0.0197,4,0.631,5,191595,-7.282,0.335,0,audio_features,spotify:track:76I1mEj3vKHgwwO43MdNpI,2016,49
0.382,0.0892,127.225,0.0619,0.619,0.000136,4,0.562,2,219030,-11.197,0.04,0,audio_features,spotify:track:2f4SFBQcbVLQbtgrzBb26O,2016,1
0.62,0.349,111.994,0.0346,0.0169,0.176,4,0.696,1,280415,-8.346,0.674,1,audio_features,spotify:track:2cKBRXAja8JIgF2gSmrMke,2016,5
0.859,0.348,140.027,0.315,0.127,0.0,4,0.788,1,219333,-5.542,0.769,1,audio_features,spotify:track:7fQmDkqrrj13kxv4Vle3AM,2016,49
0.532,0.165,111.829,0.0713,0.0366,0.000783,4,0.506,4,231507,-7.403,0.303,0,audio_features,spotify:track:0HMCdlOPJkAGlB0MlSWIcO,2016,60
0.878,0.334,102.848,0.15,0.0461,0.0,4,0.834,8,258688,-9.484,0.418,1,audio_features,spotify:track:6KIKRz9eSTXdNsGUnomdtW,2016,71
0.764,0.115,148.021,0.0366,0.0717,0.0,4,0.516,2,224693,-6.223,0.376,1,audio_features,spotify:track:1NhPKVLsHhFUHIOZ32QnS2,2016,78
0.744,0.138,81.396,0.476,0.262,0.000382,4,0.441,6,251573,-6.248,0.124,0,audio_features,spotify:track:66Q3fAmSX5eHamgbKa9alP,2016,70
0.525,0.11,114.065,0.0284,0.799,0.881,4,0.465,9,324955,-8.19,0.125,1,audio_features,spotify:track:154jHa2vq8IXa4acIIufC4,2016,43
0.871,0.343,160.212,0.299,0.0117,0.0,4,0.47,0,292098,-6.662,0.454,0,audio_features,spotify:track:13kiXTWqDhjZFh6A8dsJvl,2016,55
0.138,0.266,143.994,0.0811,0.404,0.858,4,0.732,8,306680,-13.613,0.212,1,audio_features,spotify:track:6p5gjMVjKzL23fCEA2QGzH,2016,14
0.78,0.189,122.077,0.0527,0.156,0.0,4,0.599,11,208395,-5.033,0.529,1,audio_features,spotify:track:6lyjWvSUgYtX26zfrQ6gn8,2016,49
0.118,0.111,129.029,0.0444,0.983,0.0251,4,0.526,9,251587,-14.455,0.146,1,audio_features,spotify:track:2GSFSTeDDRw9WXpc63T6up,2016,51
0.83,0.191,113.03,0.0749,0.0123,0.0,4,0.667,0,236002,-5.715,0.701,1,audio_features,spotify:track:6JV2JOEocMgcZxYSZelKcc,2016,79
0.319,0.125,74.109,0.0718,0.618,1.7e-06,4,0.636,10,280800,-10.065,0.378,1,audio_features,spotify:track:3CCyVdprlcXui4ZwMw1hNS,2016,55
0.543,0.105,120.028,0.0748,0.481,0.216,4,0.675,0,186707,-10.961,0.279,1,audio_features,spotify:track:7i4nNMUx5SJ6bXA9Yjkwjf,2016,16
0.69,0.132,94.988,0.052,0.0771,0.0,4,0.634,6,253307,-7.804,0.645,1,audio_features,spotify:track:6OtCIsQZ64Vs1EbzztvAv4,2016,72
0.133,0.138,127.507,0.0384,0.951,0.00332,4,0.579,0,232987,-12.863,0.198,0,audio_features,spotify:track:4JaoU6fL2Ifz2gDyFYtpiP,2016,59
0.938,0.0952,118.026,0.0407,0.00916,1.7e-05,4,0.709,8,208373,-7.315,0.494,1,audio_features,spotify:track:4v0dNir4IjmQ8okQir4kIv,2016,0
0.273,0.139,114.146,0.0379,0.878,0.646,4,0.235,9,217241,-12.064,0.207,0,audio_features,spotify:track:1pCQ6XHFC6JjVPc3CPkRMy,2016,32
0.564,0.148,119.978,0.0371,0.491,4.73e-06,4,0.614,4,236053,-8.505,0.0585,0,audio_features,spotify:track:55ji6rFyGFBXlgXUDyUKbx,2016,39
0.534,0.0919,91.974,0.0946,0.0752,0.0,4,0.725,11,219320,-6.238,0.558,1,audio_features,spotify:track:32lmL4vQAAotg6MrJnhlQZ,2016,45
0.915,0.111,160.0,0.0967,0.026,0.019,4,0.683,10,186000,-2.205,0.574,0,audio_features,spotify:track:6kZPtpO12FBAgkK4Cf0v18,2016,42
0.803,0.176,142.135,0.0738,0.0796,1.71e-05,4,0.541,1,299613,-3.284,0.221,1,audio_features,spotify:track:22L7bfCiAkJo5xGSQgmiIO,2016,77
0.465,0.12,100.053,0.0372,0.324,0.0146,4,0.627,8,213267,-8.509,0.227,1,audio_features,spotify:track:5aplIGVNdX0SMUgYMbGpk1,2016,43
0.544,0.0862,113.978,0.0497,0.104,5.59e-05,4,0.697,0,274160,-9.251,0.206,1,audio_features,spotify:track:7ohRnTp386jnkstx6w5lYT,2016,39
0.5,0.114,144.871,0.0611,0.611,4.04e-05,4,0.63,1,245172,-8.755,0.315,0,audio_features,spotify:track:6MxhAD7FwoBQabntab2qG9,2016,4
0.355,0.123,74.99,0.0714,0.694,0.000427,4,0.657,7,189000,-12.044,0.0808,1,audio_features,spotify:track:0jllH0usRFD4LJkJnGK9Lf,2016,79
0.638,0.0609,60.03,0.0459,0.226,0.0,4,0.511,0,208347,-7.202,0.205,1,audio_features,spotify:track:1IcEofBOoS01ouUsqdn8ke,2016,51
0.907,0.0811,173.983,0.0445,0.0441,3.07e-05,4,0.502,6,210106,-5.183,0.548,1,audio_features,spotify:track:6IsRBnRhDpiJuKtcyKZFB4,2016,1
